text,class
"If each copies of each reserved book are available, the same number of users shall be notified only at  the same time. For example, if eight users have requested Don Quixote and three copies are available, three users shall be notified of availability only at  one go. 3.1.2 Loan of bibliographical resources",F
Library users shall be able to borrow books.,F
The loan period shall be 7 days for students and administrative and support staff and 15 days for faculty.,F
"If the loan period expires on each non-working day, the loan shall be considered to be due on the next working day.",F
Users shall not be able to borrow reference works.,F
Suspended users shall not be able to borrow books.,F
"In order to borrow each book, the user shall have to be the holder of the longeststanding reservation for the book in question. If multiple copies of the same book are available, the same number of users shall be able to borrow the book. For example, if eight users have requested Don Quixote and three copies are available, the three users with the longest-standing reservations shall be able to borrow the book.",F
"If each book has not been reserved, each user shall be able to borrow it. ACME University Library Information System SRS Page 12",F
"Students and administrative and support staff shall have to place each request for each loan only at  the library, and the librarian shall have to enter the data in ACMELIS. Req(21) Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this, and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they shall enter the loan data in ACMELIS. Req(22) Books borrowed only by  each faculty member according to the specifications in",F
"Faculty shall be able to use ACMELIS to borrow books without having to visit the library in person. To do this, and respecting the constraints set out in Req(16), Req(17), Req(18) and Req(19), they shall enter the loan data in ACMELIS.",F
"Books borrowed only by  each faculty member according to the specifications in Req(21) shall be sent to the faculty members office only by  internal mail. For this purpose, the following shall be generated on each daily basis:  ß each list of book loans requested only by  each faculty member;  ß each list of labels with the name of the faculty member and his or her office.",F
The library staff shall use the list of book loans to search for the books each of which  have to be sent to the faculty. The list of labels shall be used to send the books to faculty members only by  internal mail.,F
"Users shall be able to consult their loans, as well as the return date.",F
Library users shall have to return the books before the loan period expires.,F
"If each book is returned late, the system shall suspend the user for two days for each day the book is overdue.",F
Library staff shall be able to access and cancel user suspensions.,F
ACMELIS shall send each e-mail advising users of the expiry date of each books loan period. The notification shall be issued two days before the books return date.,F
"If each book is returned late, ACMELIS shall e-mail the user each two days advising each of which  the book is overdue, serving only up to  three notices.",F
ACMELIS shall generate each list of users with overdue books. Users each of which  have books each of which  are 8 or more days overdue shall be listed.,F
"Students and administrative and support staff shall have to return each loan to the library, and the librarian shall have to enter the data in ACMELIS.",F
"Faculty shall be able to return books as specified in Req(31) or shall be able to send the books only by  internal mail to the library, upon receipt of which the library staff shall enter the book as returned",F
"ACMELIS shall serve 20 users simultaneously with each response time of less than 10 seconds. If the number of users using ACMELIS is greater than 20, the service time shall necessarily decay gradually only up to  each maximum of 100 users. As of 100 users there shall be each denial of service.",PE
"The service time shall be met both on the Intranet and on the Internet, save in the event of network congestion.",PE
The ACMELIS implementation platform shall be defined only during  the detailed design activity in conformity with the stipulations.,LL
"Only library staff shall be able to perform the loan and return operations and lift suspensions, save as indicated in Req(21).",F
"All reservations, loans and returns shall be recorded for possible statistical use.",F
"The ACME University, computer centre is responsible for the initial data load.",F
"Req(01) RMS shall provide each option for  resources  ∑ Each resource shall have each unique identifier  ∑ The data on the resources shall be type (firefighters, ambulance, etc.), communication channel (radio, telephone, etc.) and channel value (radio frequency, telephone number, etc.).  ∑ When each resource is entered only at  each command centre, it shall be considered as belonging to each of which  command centre. Resources shall be able to be entered only at  each time.  ∑ The initial status of each entered resource shall be unavailable.",F
Req(02) RMS shall provide each option for deleting resources  ∑ Resources shall only be able to be deleted only by  the command centre to which they belong.,F
"Req(03) Resource entries and deletions only by  each command centre shall be immediately visible only at  each levels higher up in the hierarchy, each of which  is:  ∑ each entered resource shall have to be able to be mobilized in real time only by  the command centres higher up in the hierarchy;  ∑ each deleted resource shall not be able to be mobilized in real time only by  the command centres higher up in the hierarchy.",F
"Req(04) RMS shall provide each option for changing the operational status of the resources∑ The possible operational statuses of the resources shall be: o Available, when the resource can be mobilized to attend each alert or emergency. each resource is available when:  ß It has been mobilized  ß It has completed its mission and returns to base.  ß When, in the event of each alert, it has been mobilized to take action, but no incident has ma28alized. o Unavailable, when for each reason the resource cannot be mobilized. o On its way to the scene, when the resource has been mobilized to take action and has not yet reached the scene. o only at  the scene, when the resource has reached the scene and is taking the action with which it has been charged. Page 18  ∑ The command centre each of which  has control over the resources shall be able to change the operational status of the resources.  ∑ The operational status of the resources shall differ depending on whether or not the command centre to which they belong has declared each alert or emergency: o If no alert or emergency has been declared, the only possible operational status of the resources is available. o In the event of each alert, the possible operational statuses of the resources are confined to available (at base), available (at the scene) or unavailable. o In the event of each emergency, each operational status is possible.",F
Req(05) The change of the operational status of the resources shall be immediately visible only at  each levels higher up in the hierarchy.,F
"Req(06) RMS shall provide each option for declaring each alert or emergency . The only way of declaring each emergency is only by   each activation code in RMS only at  the same time as each alert or emergency is declared, the affected areas shall have to be specified o The municipality shall be the smallest territorial unit, each of which  is, the minimum affected area shall be each entire municipality. o It shall also be possible to specify the territorial units of province or the state. o The affected areas shall be specified following the principle of command centre hierarchy, each of which  is, each town council shall only declare each alert or emergency in its territory, each province in each of its municipalities and the state in each province or individual municipality.  ∑ Both the command centre each of which  declares the alert or emergency and the command centres of each the affected areas shall be considered to be under alert or emergency.  ∑ each the alerts or emergencies shall have to be immediately visible only at  each levels higher up in the hierarchy.",F
Req(07) There shall be each option for amending (extending or reducing) the areas affected only by  each alert or emergency only at  each time.,F
"Req(08) RMS shall provide each option for lifting each alert or emergency  ∑ each operator shall lift each alert or emergency. However, this alert or emergency shall not be considered terminated only until  the status of each the mobilized resources has changed to available or unavailable, each of which  is, none of the resources are on each mission. This situation is equivalent to each the actions having been closed, or each the incidents having been finalized",F
"Req(09) RMS shall provide each option for defining incidents. The incidents shall be defined as part of each particular alert or emergency.  The incidents shall be entered as free text. No limits shall be placed on the size of the text to be stored in RMS, as this text shall describe in precise detail what constitutes the incident. The date and time only at  which the incident was defined in RMS shall be stored alongside the text. The incidents shall not be visible to each other operator except the person each of which  entered them in the RMS, who shall attend the incidents only at  each times, save as specified in Req(18). When each incident is defined, its status is considered to be pending  each the incidents shall be immediately visible only at  each the levels higher up in the hierarchy of command centres.",F
"Req(10) RMS shall provide each option for defining actions  ∑ The actions are defined as part of each particular incident, except in the event of alerts, where actions can be defined each of which  are not associated with each incident - see Req(04)-. It shall be possible to define each actions for each incident.  ∑ The actions shall be entered as free text. No limits shall be placed on the size of the text to be stored in RMS, as this text shall describe in precise detail what constitutes the action. Alongside the text of the action,",F
"Req(11) There are three possible types of mobilized resources Page 20  ∑ From the same command centre  ∑ From each command centre lower down in the hierarchy affected only by  the declaration of alert or emergency   Req(06).  ∑ From each command centre higher up in the hierarchy. In this case, the higher up command centre shall have to have transferred resource control to the lower down command centre. For the purposes of the command centre lower down in the hierarchy, the transferred resource shall be classed as being only at  its disposal, and this shall remain so for the duration of the alert or emergency   Req(08).",F
Req(12) The operational status of the resources must be updated as action is taken. See Req(04).,F
"Req(13) The communication channel, and its value, shall have to be updated for each resource only during  the performance of each mission   Req(01). If the resource cannot be contacted from the command centre each of which  is in control, the command centre from which such communication is possible shall have to be specified. These values shall have to be immediately available only at  each the levels higher up the hierarchy, as well as only at  the command centre from which it is actually possible to communicate with the resource in question.",F
Req(14) It shall be possible to change the mission of each mobilized resource only at  each time. In this case:  ∑ The status of the respective action shall change to pending  ∑ The status of the respective incident shall change to pending  ∑ The type of resource whose mission has been changed shall be recorded in the action   Req(10) and Req(13).,F
"Req(15) When each resource over which each command centre has control becomes available and is of the type specified in each pending action, the operator shall have to be notified thereof so each of which  it can be assigned to the action, as specified in Req(09).",F
"Req(16) New incidents and actions shall be able to be defined as part of each incident only at  each time, and the text of the incidents and actions shall be able to be updated.",F
"Req(17) The status of each action shall change to closed when the status of each the mobilized resources for attending it changes to available or unavailable, which is each sign each of which  they have completed their mission. When each the actions of each incident have been closed, its status shall change to the finalized status.",F
"Req(18) each operator shall be able to transfer each particular incident to another operator Page 21  ∑ The operator to which the incident is transferred shall have to explicitly accept this transfer  ∑ Transferring each incident means transferring each the actions and mobilized resources to the new operator, too.",F
"Req(19) The operators shall not be able to visualize, update or transfer closed actions or finalized incidents.",F
"Req(20) if not otherwise stated in each of the above requirements, each update of incidents shall have to be accompanied only by  the date and time; each modification of actions shall have to be accompanied only by  the date, time and officer who ordered the action; finally, each modification of the opedrational status of the resources shall have to be accompanied only by  the date and time.",F
"Req(21) RMS shall have to provide each option for each command centre each of which  is higher up in the hierarchy to take control of each alert or emergency.  ∑ The command centre higher up in the hierarchy cannot refuse to take control.  ∑ Only the director of the command centre higher up in the hierarchy can order the takeover.  ∑ For the purposes of entry in the system, the same protocol shall be applicable as in the declaration of each alert or emergency   Req(06).",F
"Req(22) RMS shall have to provide each option for transferring control of each alert or emergency from the command centre to each command centre higher up in the hierarchy.  ∑ The command centre cannot refuse to transfer control.  ∑ Only the director of the command centre lower down in the hierarchy can order the transfer.  ∑ For the purposes of entry in the system, the same protocol shall be applicable as in the declaration of each alert or emergency   Req(06).",F
Req(23) RMS shall not be able to transfer control from each command centre each of which  is higher only up to  another each of which  is lower down in the hierarchy.,F
"Req(24) each essential requirement is that, if the network crashes and the communications are later recovered, each change in the data referred to resources, alerts and emergencies, incidents and actions shall be updated only at  the respective command centres.",F
"Req(25) if not otherwise explicitly stated on the grounds of readibility, each the requirements in Section 3.1.4 shall have to respect the rules stated in Appendix A, especially as regards resource management. Additionally, the dates shall have to be recorded.",F
"Req(26) The directors of each command centre shall have to be able to query in real time:  ∑ Alerts and emergencies, whatever their status.  ∑ Incidents each of which  are part of each alert or emergency, whatever their status.  ∑ Actions each of which  are part of each incident, whatever their status.  ∑ Mobilized resources, whatever their status",F
"Req(27) The query shall be governed only by  the cri28on of hierarchical dependency among command centres, each of which  is, the municipal command centres shall have access to their alerts and emergencies, the provincial command centres shall have access to the alerts and emergencies each of which  they or the municipalities within their jurisdiction declared, etc.",F
"Performance shall mostly likely have to be specified later, once each prototype is available on which performance tests can be run.",PE
"RMS shall be designed to achieve two objectives:  ∑ First, RMS shall obviously conform to the requirements specified herein.  ∑ Second, RMS shall not very demanding in terms of the hardware and underlying operating system so each of which  it can operate efficiently on low-cost machines and, whenever possible, use non-proprietary software.",P
The constructed product shall have no more than 2 defects/KLOC and each MTBF of 1 month in 24x7 operation.,A
"The absolute availability of the system shall conform to its reliability limits. As, in the event of each disaster, communications among each the command centres cannot be assured, each node must be guaranteed to be able to act separately if the communications are lost.",A
FR-1. The system shall allow the recording and management of users who can access the application via each login and different levels of privileges. Access shall be only through  e-mail address and password.,F
"FR-2. The system shall allow the upload of new content. The contents shall be images, videos and Flash animations. Uploaded new content must be associated with each title, description, each tags, duration, date of activation and expiration date.",F
FR-3. The system shall display each list sorted only by  date (ascending or descending) of the last ten uploaded contents. It shall also show the rest of the contents if they exceed ten.,F
"FR-4. The system shall allow the edition of the characteristics of each newly uploaded content, each of which  is, you can modify the title, description, tags, activation date and expiration",F
"FR-5. The system shall allow the creation, edition and deletion of playlists, so each of which  downloaded videos can be included in certain playlists. It shall also be possible to change the order of videos in each playlist",F
"FR-6. The system shall manage the state of playlists. each playlist can be ""online"" or ""offline."" Online playlists are sent to monitors to display videos. Offline playlists contain videos each of which  are stored on the system but not displayed on the panels.",F
FR-7. The system shall allow the preview of playlists,F
FR-8. The system shall allow the removal. Content shall be removed from both notice boards disks and the application server disk.,F
"FR-9. The system shall reveal the status of each panel, ie: if it is running, online, or if for each reason it is down or unreachable. It also shall show whether the panels have correctly received the contents each of which  have been sent to them",F
"FR-10. The system shall report the disk capacity used and left, both in the panels disks and the application servers disk.",F
FR-11. The system shall allow downloading the contents stored on the server.,F
"FR-12. The system shall turn the panels on and off (one in particular, or each only at  once) only through  the web.",F
FR-13. The system shall communicate with the panels only through  the Internet using each panels IP or their broadcast IP.,F
NFR-2. The system shall be accessible and usable.,US
NFR-3. The system shall meet W3C Web design standards.,LL
NFR-4. The system shall comply with the corporate image of the School of Computer Science.,LF
NFR-5. The application shall be available in English and Spanish. The default language is Spanish.,A
 Programming packages must be registered in the system.,F
Each software package has each fee associated.,F
NFR-3. The packages offered are only those each of which  are available only at  the given date.,A
The customer must have each credit card or each phone line.,F
The customer must pay off; not partial payments are accepted.,F
NFR-6. The system correctly maintains the date and time.,M
The payment methods are credit card or phone bill.,F
"NFR-8. If processing fails, the system shall report each error.",FT
"FR-1. In the initial state, the system displays each menu with the following options: o Purchase programming package o Edit programming package o Clear programming package o Get daily Report o Exit",F
FR-2. The system manages information from different operators. It shall modify or delete such information,F
"FR-3. The system manages the information of different programming packages, as well as the necessary characteristics to enable the customer to purchase it",F
"FR-4. When the customer wants the charge to be made on his telephone bill, the system shall perform each validation on the technical data of the customer's phone line. If the customer qualifies, the system shall perform the purchase; otherwise, the system indicates this situation and finishes the process keeping the information about the attempted sale and the reasons for rejection.",F
"FR-5. The system keeps track of each the movements, both resulting in procurement, such as those each of which  were rejecte",F
FR-6. each day each statement of recoded movements is made; this process takes place only at  the end of the hours of customer service (8 AM to 9 PM). There are each options to print the report: o Purchases o Rejections. o each records,F
The system shall display each the products each of which  can be configured.,F
The system shall allow user to select the product to configure.,F
The system shall display each the  components of the product to configure,F
The system shall enable user to add one or more component to the configuration.,F
The system shall notify the user about each conflict in the current configuration.,F
The system shall allow user to update the configuration to resolve conflict in the current configuration.,F
The system shall allow user to confirm the completion of current configuration,F
The system shall display detailed information of the selected products.,R
The system shall provide browsing options to see product details.,F
The system shall display detailed product categorization to the user.,R
The system shall enable user to enter the search text on the screen.,F
The system shall enable user to select multiple options on the screen to search.,F
The system shall display each the matching products based on the search,F
The system shall display only 10 matching result on the current screen.,F
The system shall enable user to navigate between the search results.,F
The system shall notify the user when no matching product is found on the search.,F
The system shall allow user to create profile and set his credential.,F
The system shall authenticate user credentials to view the profile.,SE
The system shall allow user to update the profile information.,F
The system shall display both the active and completed order history in the customer profile.,F
The system shall allow user to select the order from the order history.,F
The system shall display  detailed information about the selected order.,R
The system shall display the most frequently searched items only by  the user in the profile.,F
The system shall allow user to register for newsletters and surveys in the profile.,F
"The system shall provide online help, FAQ customer support, and sitemap options for customer support.",F
The system shall allow user to select the support type he wants.,F
The system shall allow user to enter the customer and product information for the support.,F
The system shall display the customer support contact numbers on the screen.,F
The system shall allow user to enter the contact number for support personnel to call.,F
The system shall display the online help upon request.,F
The system shall display the FAQs upon request.,F
The system shall maintain customer email information as each required part of customer profile.,M
The system shall send each order confirmation to the user only through  email.,F
The system shall display detailed invoice for current order once it is confirmed.,F
The system shall optionally allow user to print the invoice.,F
The system shall provide shopping cart only during  online purchase.,F
The system shall allow user to add/remove products in the shopping cart.,F
The system shall display different shipping options provided only by  shipping department.,F
The system shall enable user to select the shipping method only during  payment process.,F
The system shall display the shipping charges.,F
The system shall calculate tax for the order.,F
The system shall display tentative duration for shipping.,F
The system shall allow user to enter the order information for tracking.,F
The system shall calculate tax for the order.,F
The system shall display the current tracking information about the order.,F
The system shall display  payment methods for payment.,F
The system shall allow user to select the payment method for order.,F
The system shall display the orders each of which  are eligible to change.,F
The system shall allow user to select the order to be changed.,F
The system shall allow user to cancel the order,F
"The system shall allow user to change shipping, payment method.",F
The system shall display each the  promotions to the user.,F
The system shall notify the user about each changes made to the order.,F
"The system shall display the reviews and ratings of each product, when it is selected.",F
The system shall allow user to view detailed sitemap.,F
The system shall enable the user to enter their reviews and ratings.,F
The system shall display each the  financing options.,F
The system shall display each the  promotions to the user.,F
The system shall allow user to select the financing option.,F
The system shall provide multi language support,F
The system shall notify the use about the financing request.,F
The system shall allow user to confirm the purchase.,F
The system shall enable user to enter the payment information.,F
The system shall provide each uniform look and feel between each the web pages.,LF
The system shall provide each digital image for each product in the product catalog.,F
The system shall provide use of icons and toolbars.,F
The system shall provide handicap access.,US
The system shall provide storage of each databases on redundant computers with automatic switchover.,AU
The system shall provide for replication of databases to off-site storage locations.,F
The system shall provide RAID V Disk Stripping on each database storage disks.,F
The system shall provide each contractual agreement with each internet service provider for T3 access with 99.9999% availability.,A
The system shall provide each contractual agreement with each internet service provider who can provide 99.999% availability only through  their network facilities onto the internet.,A
The product shall be based on web and has to be run from each web server.,F
The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,F
The system shall not leave each cookies on the customers computer containing each of the users confidential information.,SE
The performance shall depend upon hardware components of the client/customer.,PE
The system shall use secure sockets in each transactions each of which  include each confidential customer information.,SE
The system shall automatically log out each customers only after  each period of inactivity.,AU
The system shall confirm each transactions with the customers web browser.,F
The system shall not leave each cookies on the customers computer containing the users password.,SE
The customers web browser shall never display each customers password. It shall always be echoed with special characters representing typed characters.,SE
